Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Other,1289,Male,Research Scientist,Married,No,2,47,No,1488,22,Associates Degree,3,103,3,1,4,15142,26571,8,24,2,4,80,0,30,3,1,20,9,17
No,Travel_Rarely,<20,Current Employees,Research & Development,Life Sciences,34694,Male,Sales Representative,Divorced,Yes,6,57,No,364,15,Master's Degree,1,31,1,5,3,14207,18700,4,27,3,4,80,0,5,1,37,5,8,1
No,Travel_Frequently,50+,Current Employees,Human Resources,Other,67063,Male,Sales Representative,Married,Yes,6,25,Yes,544,29,Bachelor's Degree,4,75,3,4,3,2338,13607,3,15,1,2,80,0,14,4,19,8,5,8
No,Travel_Frequently,40-50,Ex-Employees,Sales,Life Sciences,79112,Male,Manager,Divorced,No,3,60,No,1406,18,Associates Degree,4,34,3,2,2,4436,17575,7,28,1,2,80,2,34,5,20,10,10,13
No,Travel_Rarely,50+,Current Employees,Sales,Marketing,1480,Male,Research Scientist,Single,No,4,40,No,493,34,Bachelor's Degree,4,99,2,2,3,16866,11772,1,16,5,4,80,3,5,2,0,9,2,7
Yes,Travel_Rarely,30-40,Ex-Employees,Human Resources,Technical Degree,2764,Female,Manager,Single,Yes,0,54,Yes,1370,24,Associates Degree,5,31,1,2,5,13333,10440,2,40,4,5,80,1,38,3,30,6,13,5
No,Travel_Rarely,40-50,Current Employees,Human Resources,Other,1941,Male,Manager,Divorced,Yes,4,45,No,1065,19,Bachelor's Degree,4,46,3,1,4,13813,26438,3,18,5,5,80,1,28,1,29,16,7,13
Yes,Non-Travel,20-30,Ex-Employees,Sales,Technical Degree,35370,Female,Human Resources,Single,Yes,0,59,No,228,6,Associates Degree,3,35,5,2,5,16548,22453,7,31,3,2,80,3,23,5,19,12,10,6
No,Travel_Frequently,<20,Current Employees,Research & Development,Technical Degree,31150,Male,Sales Representative,Single,Yes,6,18,Yes,1052,20,Doctoral Degree,3,71,2,4,5,3076,17047,2,35,5,4,80,3,12,1,10,3,11,18
No,Non-Travel,40-50,Current Employees,Sales,Other,35246,Female,Manager,Divorced,Yes,2,48,No,1148,46,Associates Degree,4,72,4,4,3,4928,13282,3,17,2,2,80,1,29,1,4,20,6,1
No,Travel_Rarely,30-40,Current Employees,Human Resources,Marketing,49387,Male,Healthcare Representative,Single,No,4,53,No,906,16,Doctoral Degree,3,98,3,1,5,7347,27073,7,30,4,3,80,1,18,3,37,6,3,17
No,Travel_Frequently,20-30,Current Employees,Human Resources,Marketing,7052,Female,Sales Executive,Single,Yes,5,22,No,1296,26,Bachelor's Degree,3,40,5,2,4,1221,19027,6,17,4,5,80,3,33,1,3,6,11,4
Yes,Non-Travel,20-30,Ex-Employees,Research & Development,Life Sciences,53726,Male,Sales Executive,Divorced,Yes,4,51,Yes,759,17,Doctoral Degree,2,59,3,2,2,18671,25619,0,10,3,4,80,0,23,2,9,19,8,1
No,Travel_Frequently,40-50,Ex-Employees,Sales,Technical Degree,48174,Male,Sales Representative,Divorced,No,1,49,No,345,4,Associates Degree,1,64,2,3,4,13734,22673,9,10,4,1,80,1,35,4,26,14,9,8
No,Non-Travel,20-30,Ex-Employees,Human Resources,Life Sciences,68688,Female,Manager,Married,No,4,33,Yes,335,22,Bachelor's Degree,3,48,2,3,3,4482,25145,4,29,5,1,80,0,5,5,36,11,1,14
No,Travel_Frequently,<20,Ex-Employees,Human Resources,Medical,39522,Male,Laboratory Technician,Single,Yes,1,54,Yes,781,9,Doctoral Degree,1,70,3,2,4,1205,14683,2,40,4,4,80,2,38,4,40,11,1,19
No,Non-Travel,<20,Current Employees,Human Resources,Other,11278,Female,Healthcare Representative,Divorced,No,1,49,Yes,1302,24,Master's Degree,3,79,1,3,4,6014,17071,8,40,5,4,80,3,27,3,32,13,15,9
No,Travel_Rarely,20-30,Ex-Employees,Sales,Medical,97722,Male,Manager,Divorced,Yes,1,23,Yes,1094,13,Associates Degree,3,99,2,2,1,8620,11701,0,34,4,2,80,0,20,4,3,13,3,10
Yes,Travel_Frequently,30-40,Current Employees,Research & Development,Marketing,52480,Male,Healthcare Representative,Divorced,No,3,37,No,1038,2,Associates Degree,2,59,1,3,3,18269,17025,3,14,4,1,80,1,15,4,8,9,4,4
No,Non-Travel,40-50,Current Employees,Sales,Marketing,30176,Female,Research Scientist,Single,No,6,26,Yes,1461,19,Master's Degree,3,82,3,2,5,5601,16548,3,34,4,1,80,0,29,4,9,5,7,12
No,Travel_Frequently,40-50,Current Employees,Research & Development,Marketing,14622,Male,Manager,Married,No,6,31,No,1426,50,Bachelor's Degree,3,36,3,2,4,6112,15358,7,17,3,5,80,1,29,4,36,17,9,17
No,Non-Travel,20-30,Ex-Employees,Sales,Medical,24994,Male,Sales Executive,Single,Yes,0,32,Yes,1478,34,Master's Degree,3,103,4,1,4,1818,25440,4,12,4,1,80,3,8,2,30,11,0,7
Yes,Non-Travel,50+,Current Employees,Research & Development,Medical,54342,Male,Manager,Divorced,No,4,43,Yes,543,30,Bachelor's Degree,1,43,3,5,2,16397,26689,2,40,1,5,80,2,27,4,23,16,0,2
No,Travel_Frequently,<20,Current Employees,Research & Development,Technical Degree,46057,Female,Human Resources,Single,Yes,5,26,Yes,1195,15,Bachelor's Degree,2,110,1,2,4,7108,26098,1,33,3,1,80,3,26,2,18,18,1,14
Yes,Travel_Rarely,30-40,Current Employees,Sales,Other,70864,Male,Laboratory Technician,Single,Yes,5,56,Yes,311,29,Bachelor's Degree,4,84,5,4,1,2636,14080,10,10,5,1,80,0,21,3,16,18,8,19
Yes,Non-Travel,20-30,Current Employees,Human Resources,Medical,92762,Male,Sales Executive,Divorced,No,4,53,No,378,18,Bachelor's Degree,3,49,3,4,2,12263,26212,4,33,1,5,80,0,9,1,4,1,8,18
No,Travel_Frequently,40-50,Ex-Employees,Sales,Medical,95532,Male,Sales Executive,Single,Yes,5,42,Yes,443,6,Bachelor's Degree,3,59,1,5,5,7618,18144,4,23,1,3,80,1,11,3,17,11,13,17
No,Travel_Rarely,50+,Current Employees,Sales,Technical Degree,39241,Female,Laboratory Technician,Divorced,No,5,27,No,554,47,Master's Degree,4,100,4,5,2,12658,14221,2,14,1,2,80,1,37,4,27,19,1,5
No,Travel_Frequently,50+,Current Employees,Human Resources,Technical Degree,63762,Female,Healthcare Representative,Divorced,Yes,3,25,No,1376,34,Doctoral Degree,3,36,4,3,1,17006,15513,7,36,3,5,80,3,18,1,30,16,5,8
No,Travel_Frequently,40-50,Ex-Employees,Human Resources,Other,12801,Female,Healthcare Representative,Single,No,3,26,No,443,38,Doctoral Degree,5,107,5,2,4,9623,26133,0,17,2,5,80,1,28,3,28,7,14,20
